aclass_id,bus,smm,prikljucna_moc_odjem,prikljucna_moc_oddaja,x_y,lon_lat
junction,97327,,,,"(530588.0843000002, 153821.05189999938)","(21.48883237280564, 49.25298769476685)"
PMO,55363,110471.0,35.0,0.0,"(530715.1489000004, 154094.69480000064)","(21.490457517273, 49.25545698477883)"
PMO,55364,91558.0,17.0,14.0,"(530714.4113999996, 153845.96270000003)","(21.49046867801605, 49.25321912788421)"
PMO,55367,30234.0,14.0,0.0,"(530699.8213, 153848.67300000042)","(21.490279227137176, 49.253242668676066)"
PMO,55368,30233.0,14.0,0.0,"(530683.6710999999, 153849.89320000075)","(21.49006966676341, 49.25325271264873)"
PMO,78409,90908.0,14.0,0.0,"(530348.2607000005, 153945.30269999988)","(21.485711568038017, 49.25409161565024)"
PMO,55370,2744.0,301.0,0.0,"(530671.8049999997, 153982.85459999926)","(21.48990467939212, 49.25444826465502)"
PMO,55371,30236.0,17.0,0.0,"(530667.0499999998, 153819.60319999978)","(21.489856627659897, 49.25297923528542)"
PMO,55374,30235.0,17.0,0.0,"(530655.7797999997, 153815.35339999944)","(21.489710815107493, 49.25294034801959)"
PMO,55372,121932.0,17.0,0.0,"(530658.6579, 153753.64279999956)","(21.489753291161556, 49.25238531130118)"
PMO,55372,123237.0,17.0,0.0,"(530658.6579, 153753.64279999956)","(21.489753291161556, 49.25238531130118)"
PMO,55376,30231.0,14.0,0.0,"(530647.0005999999, 153848.6838000007)","(21.489594172765752, 49.25323970959185)"
PMO,55380,86650.0,83.0,0.0,"(530626.7094, 153816.95390000008)","(21.48933365752437, 49.25295306413992)"
PMO,55380,30230.0,17.0,0.0,"(530626.7094, 153816.95390000008)","(21.48933365752437, 49.25295306413992)"
PMO,55385,108966.0,17.0,13.0,"(530619.0462999996, 154048.6559999995)","(21.489214918618764, 49.25503721720759)"
PMO,55386,,,,"(530617.4691000003, 153810.67400000058)","(21.489214341434828, 49.25289602925062)"
PMO,55387,114592.0,14.0,0.0,"(530617.4486999996, 154130.01669999957)","(21.489187401360354, 49.25576911726745)"
PMO,55387,114593.0,14.0,0.0,"(530617.4486999996, 154130.01669999957)","(21.489187401360354, 49.25576911726745)"
PMO,55387,114596.0,14.0,0.0,"(530617.4486999996, 154130.01669999957)","(21.489187401360354, 49.25576911726745)"
PMO,55390,122711.0,17.0,0.0,"(530610.9187000003, 154131.54690000042)","(21.489102579360633, 49.25578250586195)"
PMO,55391,115604.0,14.0,11.0,"(530610.7186000003, 154130.61690000072)","(21.489100061766038, 49.25577412716477)"
PMO,55392,115194.0,14.0,0.0,"(530608.8373999996, 154088.81650000066)","(21.489079155274773, 49.255397944875156)"
PMO,55392,115545.0,14.0,0.0,"(530608.8373999996, 154088.81650000066)","(21.489079155274773, 49.255397944875156)"
PMO,55392,115544.0,14.0,0.0,"(530608.8373999996, 154088.81650000066)","(21.489079155274773, 49.255397944875156)"
PMO,55394,115328.0,14.0,0.0,"(530604.1573999999, 154090.62659999914)","(21.48901830478941, 49.25541395886137)"
PMO,55395,30229.0,17.0,0.0,"(530598.9798999997, 153845.2946000006)","(21.488971655797698, 49.25320643526756)"
PMO,55400,30227.0,17.0,0.0,"(530592.6584000001, 153796.56420000084)","(21.48889374256315, 49.25276764694486)"
PMO,55401,30238.0,17.0,0.0,"(530592.1875, 153768.00400000066)","(21.488890022341344, 49.25251066677477)"
PMO,55411,94703.0,14.0,0.0,"(530568.5492000002, 153831.73489999957)","(21.488578121820865, 49.253082675449626)"
PMO,55412,113353.0,8.0,0.0,"(530565.7603000002, 153870.6152999997)","(21.488538699682373, 49.25343231612156)"
PMO,55412,113354.0,8.0,0.0,"(530565.7603000002, 153870.6152999997)","(21.488538699682373, 49.25343231612156)"
PMO,55412,113352.0,8.0,0.0,"(530565.7603000002, 153870.6152999997)","(21.488538699682373, 49.25343231612156)"
PMO,55412,113355.0,8.0,0.0,"(530565.7603000002, 153870.6152999997)","(21.488538699682373, 49.25343231612156)"
PMO,55412,113349.0,8.0,0.0,"(530565.7603000002, 153870.6152999997)","(21.488538699682373, 49.25343231612156)"
PMO,55412,113350.0,8.0,0.0,"(530565.7603000002, 153870.6152999997)","(21.488538699682373, 49.25343231612156)"
PMO,55412,113351.0,8.0,0.0,"(530565.7603000002, 153870.6152999997)","(21.488538699682373, 49.25343231612156)"
PMO,55412,103653.0,24.0,0.0,"(530565.7603000002, 153870.6152999997)","(21.488538699682373, 49.25343231612156)"
PMO,55416,30224.0,17.0,0.0,"(530557.2988999998, 153836.38829999976)","(21.488431823209645, 49.25312388877613)"
PMO,55418,30205.0,14.0,0.0,"(530552.6050000004, 154033.04700000025)","(21.488354492066108, 49.254892931729145)"
PMO,55422,108740.0,6.0,0.0,"(530547.1593000004, 153847.1654000003)","(21.488299417073904, 49.25322026060859)"
PMO,55422,108738.0,6.0,0.0,"(530547.1593000004, 153847.1654000003)","(21.488299417073904, 49.25322026060859)"
PMO,55422,108739.0,6.0,0.0,"(530547.1593000004, 153847.1654000003)","(21.488299417073904, 49.25322026060859)"
PMO,55422,108743.0,6.0,0.0,"(530547.1593000004, 153847.1654000003)","(21.488299417073904, 49.25322026060859)"
PMO,55422,108742.0,6.0,0.0,"(530547.1593000004, 153847.1654000003)","(21.488299417073904, 49.25322026060859)"
PMO,55422,108741.0,6.0,0.0,"(530547.1593000004, 153847.1654000003)","(21.488299417073904, 49.25322026060859)"
